archetype,total_insert_events,total_delete_events,total_copy_events,total_paste_events,avg_paste_length,max_paste_length,paste_to_insert_ratio,undo_events,redo_events,run_compile_events,avg_typing_speed,typing_burst_count,typing_pause_frequency,avg_pause_duration,longest_pause,key_latency_mean,key_latency_variance,paste_after_idle_time,typing_vs_paste_ratio,code_edit_distance,total_code_versions,avg_lines_added_per_revision,avg_lines_removed_per_revision,refactor_frequency,compile_error_count,error_fix_time,code_rewrite_ratio,function_rewrite_count,comment_addition_count,total_prompts_sent,avg_prompt_length,max_prompt_length,prompt_similarity_to_problem,prompt_refinement_count,prompt_entropy,clarification_prompt_ratio,solution_request_ratio,debugging_prompt_ratio,ai_response_acceptance_rate,ai_output_edit_distance,prompt_to_code_latency,session_duration,time_to_first_code,time_to_first_ai_prompt,ai_usage_early_ratio,ai_usage_late_ratio,iteration_cycle_count,avg_cycle_duration,focus_switch_count,browser_to_editor_ratio,idle_ratio
Iterative Debugger,4446.242,652.0,8.0,20.0,7.0,9.0,0.03417293302425768,18.0,6.524,41.0,96.5,514.525,155.0,2.7,7.4,124.4,38.6,7.3,1.0,0.383,47.0,1.0,0.0,8.0,6.0,8.477,1.0,2.0,0.0,3.0,35.0,44.0,0.139,0.0,0.226,0.88,0.023,0.723,0.238,0.291,101.0,3345.0,89.0,6858.87,0.099,0.01062098816743663,17.0,185.8,4.0,0.233,0.215
Structured Collaborator,497.0,119.0,18.0,14.0,19.0,41.0,0.0281,0.0,0.0,7.0,73.3,14.0,17.0,11.0,126.355,163.7,117.5,10.0,9.307,0.287,7.0,19.0,8.0,0.0,3.0,61.7,0.121,0.0,10.0,10.0,23.0,59.0,0.554,8.0,0.371,0.4282926713004661,1.0,0.47774818078621384,0.508,0.791,60.9,1.0,293.0,335.0,0.423,0.502,1.0,1.0,13.0,0.387,0.335
Structured Collaborator,829.0,416.21,11.0,16.0,48.0,128.0,0.0193,0.0,0.0,5.0,56.5,32.0,23.0,10.3,59.4,212.4,83.7,8.6,5.39,0.101,6.0,63.762,18.0,1.0,1.0,6.6,0.3210647311263949,0.0,10.0,2.796,13.0,58.477,0.4,4.0,0.332,0.198,0.703,0.173,0.63,0.802,52.2,3009.0,275.0,438.0,0.49,0.453,3.0,752.2,13.0,1.0,0.511
Structured Collaborator,960.0,338.0,18.0,72.272,48.0,67.0,0.0187,0.0,0.0,3.0,68.3,30.0,115.796,18.8,55.8,175.7,45.0,35.3,5.549,0.946,4.0,14.0,6.0,5.0,1.0,57.4,0.07164147951012864,1.0,10.0,9.0,38.0,90.0,0.447,5.0,0.295,0.165,0.76,0.295,0.505,0.855,250.142,3458.0,292.0,224.0,0.38,0.298,5.0,576.3,15.0,0.568,0.9255289891502323
Structured Collaborator,812.0,317.0,14.0,27.0,46.0,87.0,0.0332,8.0,2.0,1.0,52.3,28.0,40.0,15.2,36.3,185.789,130.5,29.1,3.266,0.397,1.0,64.962,17.0,2.0,0.0,25.8,0.3662210911580932,1.0,11.0,13.0,25.0,65.0,0.785,6.0,0.518,0.278,0.688,0.213,0.699,0.628,55.1,2732.0,369.0,139.661,0.386,0.436,1.0,1.0,16.0,0.547,0.516
AI-Dependent Constructor,916.0,142.0,11.0,58.0,150.0,267.0,0.0632,7.0,1.077,3.0,5.0,54.0,28.0,1.0,18.588,7228.135,705.3,48.3,0.526,0.175,3.0,23.0,9.0,5.0,1.0,97.5,0.669260932555251,1.0,0.0,68.132,32.0,39.0,0.629,0.0,0.239,0.198,1.0,0.4997430841755409,0.987,0.049,26.3,627.0,16.0,175.172,1.0,0.45,11.0,52.2,53.0,0.698,0.604
Independent Solver,5801.703,611.0,6.0,0.0,8.0,21.0,0.0,17.0,1.0,12.0,97.7,51.023,95.0,9.5,46.9,122.8,83.8,5.5,10.0,0.369,28.305,7.0,6.0,11.0,3.0,45.6,0.436,3.0,5.0,0.0,5.0,14.0,0.126,1.0,0.328,0.858,0.103,0.103,0.202,0.472,77.47,2454.0,177.0,1606.0,0.09,0.3409439217690548,3.0,613.5,0.0,0.25,0.279
Structured Collaborator,707.0,322.0,18.0,78.776,47.0,125.0,0.0466,6.0,1.0,9.0,167.726,18.0,26.0,8.7,20.3,227.3,151.4,25.9,2.278,0.268,9.0,27.566,9.0,1.0,1.0,70.4,0.138,0.0,9.0,14.339,26.0,41.0,0.36,5.0,0.597,0.115,0.83,0.391,0.698,0.757,74.5,1.0,364.0,223.0,0.475,0.56,1.0,1541.5,20.0,0.585,1.0
Independent Solver,1272.0,516.0,7.333,23.0,43.0,104.0,0.0181,17.0,2.0,9.0,96.141,33.0,45.0,1.0,64.8,106.7,31.0,-0.8,1.0,0.556,9.0,4.0,1.0,13.0,2.0,20.1,0.608,4.0,1.0,0.0,5.0,12.0,0.154,0.0,0.245,0.769,0.179,0.332,0.328,0.356,31.7,3161.0,150.0,4595.913,0.081,0.067,2.0,1053.7,0.0,0.224,0.242
Iterative Debugger,4271.594,699.0,6.0,0.0,0.0,0.0,0.0,26.0,9.0,34.0,96.9,82.0,295.453,5.0,16.6,123.8,71.8,6.2,10.0,0.344,29.0,1.0,0.0,11.0,6.769,61.1,0.369,3.0,0.0,0.0,11.294,12.0,-0.014,0.0,0.476,1.0,0.404,1.0,-0.028,0.62,28.9,3511.0,138.0,1575.0,0.037,0.105,6.0,501.6,0.0,0.5258577768085785,0.212
